"item_id","all_edits","bot_edits","anon_edits","human_edits","botXhuman","bot_edits_pc","anon_edits_pc","human_edits_pc","group_size","item_age","item_quality","squaredAnon","showcase"
"Q1021559",12,11,0,1,0.0763888888888889,0.916666666666667,0,0.0833333333333333,10,1598.67452546296,"D",0,0
"Q1022",747,330,12,405,0.239512265931195,0.441767068273092,0.0160642570281124,0.542168674698795,145,1645.08795138889,"B",144,0
"Q1022555",128,45,0,83,0.22796630859375,0.3515625,0,0.6484375,24,1598.64594907407,"C",0,0
"Q1024",119,47,4,68,0.225690276110444,0.394957983193277,0.0336134453781513,0.571428571428571,54,1645.08737268519,"C",16,0
"Q10259836",1,1,0,0,0,1,0,0,1,1489.45505787037,"E",0,0
"Q1026",111,29,1,81,0.190650109569028,0.261261261261261,0.00900900900900901,0.72972972972973,65,1645.08731481481,"C",1,0
"Q10266630",8,4,0,4,0.25,0.5,0,0.5,5,1489.39033564815,"E",0,0
"Q10279215",1,1,0,0,0,1,0,0,1,1489.30780092593,"E",0,0
"Q10283420",1,1,0,0,0,1,0,0,1,1489.28071759259,"E",0,0
"Q10288037",1,1,0,0,0,1,0,0,1,1489.24979166667,"E",0,0
"Q10289872",1,1,0,0,0,1,0,0,1,1489.23740740741,"E",0,0
"Q1029",545,119,4,422,0.16906994360744,0.218348623853211,0.0073394495412844,0.774311926605505,134,1645.08601851852,"A",16,0
"Q10299150",320,310,0,10,0.0302734375,0.96875,0,0.03125,18,1489.02150462963,"C",0,0
"Q103",97,18,1,78,0.149218833032203,0.185567010309278,0.0103092783505155,0.804123711340206,62,1646.04611111111,"C",1,0
"Q1030",547,128,5,414,0.177106972049638,0.23400365630713,0.00914076782449726,0.756855575868373,141,1645.0856712963,"A",25,0
"Q10302101",1,1,0,0,0,1,0,0,1,1489.00297453704,"E",0,0
"Q1031",244,101,4,139,0.235806906745499,0.413934426229508,0.0163934426229508,0.569672131147541,85,1645.08530092593,"B",16,0
"Q10310046",13,5,0,8,0.236686390532544,0.384615384615385,0,0.615384615384615,11,1488.95027777778,"D",0,0
"Q10314799",4,1,0,3,0.1875,0.25,0,0.75,3,1488.9206712963,"E",0,0
"Q10315509",12,5,0,7,0.243055555555556,0.416666666666667,0,0.583333333333333,8,1488.91609953704,"D",0,0
"Q10318212",1,1,0,0,0,1,0,0,1,1488.89864583333,"E",0,0
"Q1032",573,152,5,416,0.1925873133351,0.265270506108202,0.0087260034904014,0.726003490401396,130,1645.08525462963,"A",25,0
"Q10335524",5,1,0,4,0.16,0.2,0,0.8,3,1488.79009259259,"E",0,0
"Q10337675",1,1,0,0,0,1,0,0,1,1488.7766087963,"E",0,0
"Q10347708",30,9,0,21,0.21,0.3,0,0.7,18,1488.71386574074,"C",0,0
"Q1035",879,191,92,596,0.147333625836579,0.217292377701934,0.104664391353811,0.678043230944255,231,1645.08412037037,"A",8464,0
"Q10358116",1,1,0,0,0,1,0,0,1,1488.64697916667,"E",0,0
"Q1035961",1,1,0,0,0,1,0,0,1,1598.28346064815,"E",0,0
"Q10361141",31,18,0,13,0.243496357960458,0.580645161290323,0,0.419354838709677,17,1488.62769675926,"C",0,0
"Q10369334",1,1,0,0,0,1,0,0,1,1488.57466435185,"E",0,0
"Q1037",536,130,5,401,0.181450490086879,0.242537313432836,0.00932835820895522,0.748134328358209,148,1645.08349537037,"A",25,0
"Q10375638",1,1,0,0,0,1,0,0,1,1488.53358796296,"E",0,0
"Q1037753",58,48,0,10,0.14268727705113,0.827586206896552,0,0.172413793103448,24,1598.25450231481,"C",0,0
"Q10377724",3,2,0,1,0.222222222222222,0.666666666666667,0,0.333333333333333,3,1488.51939814815,"E",0,0
"Q10378640",1,1,0,0,0,1,0,0,1,1488.51340277778,"E",0,0
"Q1038",365,48,7,310,0.111690748733346,0.131506849315068,0.0191780821917808,0.849315068493151,102,1645.08283564815,"B",49,0
"Q10383542",4,2,0,2,0.25,0.5,0,0.5,4,1488.41206018519,"E",0,0
"Q10384635",1,1,0,0,0,1,0,0,1,1488.40489583333,"E",0,0
"Q1039",473,102,5,366,0.16686258822057,0.215644820295983,0.0105708245243129,0.773784355179704,136,1645.08256944444,"A",25,0
"Q1040",496,271,15,210,0.231326417793965,0.546370967741935,0.030241935483871,0.423387096774194,112,1645.08225694444,"B",225,0
"Q1041",534,113,9,412,0.163265019848785,0.211610486891386,0.0168539325842697,0.771535580524345,137,1645.08188657407,"A",81,0
"Q1042",511,122,5,384,0.179411077623018,0.238747553816047,0.00978473581213307,0.75146771037182,139,1645.08144675926,"A",25,0
"Q10422633",42,42,0,0,0,1,0,0,11,1488.12630787037,"C",0,0
"Q10423880",1,1,0,0,0,1,0,0,1,1488.11835648148,"E",0,0
"Q10424685",2,1,0,1,0.25,0.5,0,0.5,2,1488.11204861111,"E",0,0
"Q10438895",1,1,0,0,0,1,0,0,1,1488.01975694444,"E",0,0
"Q1044",515,122,8,385,0.17709491940805,0.236893203883495,0.0155339805825243,0.747572815533981,134,1645.0809837963,"A",64,0
"Q10447663",36,36,0,0,0,1,0,0,9,1487.9646875,"C",0,0
"Q1045",523,106,10,407,0.157723678293709,0.202676864244742,0.0191204588910134,0.778202676864245,138,1645.08060185185,"A",100,0
"Q10457959",43,43,0,0,0,1,0,0,8,1487.90043981481,"C",0,0
"Q1046",338,47,8,283,0.116426245579637,0.13905325443787,0.0236686390532544,0.837278106508876,102,1645.08042824074,"A",64,0
"Q10464233",38,38,0,0,0,1,0,0,11,1487.86072916667,"C",0,0
"Q10466548",1,1,0,0,0,1,0,0,1,1487.84603009259,"E",0,0
"Q1046800",29,14,0,15,0.249702734839477,0.482758620689655,0,0.517241379310345,21,1598.1209837963,"C",0,0
"Q1047",373,133,16,224,0.214132208238397,0.35656836461126,0.0428954423592493,0.600536193029491,125,1645.08011574074,"B",256,0
"Q10474303",35,35,0,0,0,1,0,0,7,1487.79751157407,"C",0,0
"Q10477433",30,28,0,2,0.0622222222222222,0.933333333333333,0,0.0666666666666667,10,1487.77821759259,"D",0,0
"Q1048",822,160,130,532,0.125976047975089,0.194647201946472,0.158150851581509,0.647201946472019,237,1645.08008101852,"A",16900,0
"Q10482807",27,26,0,1,0.0356652949245542,0.962962962962963,0,0.037037037037037,8,1487.7444212963,"C",0,0
"Q10486279",2,2,0,0,0,1,0,0,2,1487.72331018519,"E",0,0
"Q1049",567,133,11,423,0.174995100921027,0.234567901234568,0.0194003527336861,0.746031746031746,139,1645.08006944444,"A",121,0
"Q105",388,42,11,335,0.0934610479328303,0.108247422680412,0.0283505154639175,0.86340206185567,121,1646.04190972222,"C",121,0
"Q1050",496,125,3,368,0.186979708636837,0.252016129032258,0.00604838709677419,0.741935483870968,135,1645.07962962963,"B",9,0
"Q1051",115,35,0,80,0.2117202268431,0.304347826086957,0,0.695652173913043,47,1645.07951388889,"C",0,0
"Q10510213",2,1,0,1,0.25,0.5,0,0.5,2,1487.57103009259,"E",0,0
"Q10519389",18,5,0,13,0.200617283950617,0.277777777777778,0,0.722222222222222,7,1487.43269675926,"D",0,0
"Q1052",153,48,6,99,0.202998846597463,0.313725490196078,0.0392156862745098,0.647058823529412,88,1645.07930555556,"C",36,0
"Q1053",351,54,7,290,0.127109357878589,0.153846153846154,0.0199430199430199,0.826210826210826,110,1645.07866898148,"A",49,0
"Q10530372",38,38,0,0,0,1,0,0,8,1487.36482638889,"C",0,0
"Q10539556",32,31,0,1,0.0302734375,0.96875,0,0.03125,11,1487.30819444444,"C",0,0
"Q1054",310,48,4,258,0.128865764828304,0.154838709677419,0.0129032258064516,0.832258064516129,99,1645.07696759259,"B",16,0
"Q10541845",7,2,0,5,0.204081632653061,0.285714285714286,0,0.714285714285714,4,1487.29335648148,"E",0,0
"Q10547136",29,29,0,0,0,1,0,0,9,1487.26010416667,"C",0,0
"Q10548950",11,8,0,3,0.198347107438017,0.727272727272727,0,0.272727272727273,6,1487.24863425926,"E",0,0
"Q1055",654,97,27,530,0.120196579038427,0.148318042813456,0.0412844036697248,0.81039755351682,204,1645.07642361111,"B",729,0
"Q10555976",36,35,0,1,0.0270061728395062,0.972222222222222,0,0.0277777777777778,11,1487.20513888889,"C",0,0
"Q10559469",42,41,0,1,0.0232426303854875,0.976190476190476,0,0.0238095238095238,11,1487.18488425926,"B",0,0
"Q1056",183,60,2,121,0.216787601899131,0.327868852459016,0.0109289617486339,0.66120218579235,62,1645.07496527778,"B",4,0
"Q10565715",2,2,0,0,0,1,0,0,2,1486.96569444444,"E",0,0
"Q1057",245,59,6,180,0.176926280716368,0.240816326530612,0.0244897959183673,0.73469387755102,97,1645.07425925926,"B",36,0
"Q1058",388,86,45,257,0.14681422042725,0.221649484536082,0.115979381443299,0.662371134020619,176,1645.07378472222,"C",2025,0
"Q10583549",34,33,0,1,0.0285467128027682,0.970588235294118,0,0.0294117647058824,11,1486.52509259259,"C",0,0
"Q10586772",30,30,0,0,0,1,0,0,10,1486.50357638889,"C",0,0
"Q1059",135,32,9,94,0.165048010973937,0.237037037037037,0.0666666666666667,0.696296296296296,80,1645.07350694444,"C",81,0
"Q1060",102,25,3,74,0.177816224529027,0.245098039215686,0.0294117647058824,0.725490196078431,52,1645.07336805556,"C",9,0
"Q10604277",1,1,0,0,0,1,0,0,1,1486.39241898148,"E",0,0
"Q10605139",1,1,0,0,0,1,0,0,1,1486.3865625,"E",0,0
"Q1060929",52,21,0,31,0.240754437869822,0.403846153846154,0,0.596153846153846,23,1597.90706018519,"C",0,0
"Q10609917",39,39,0,0,0,1,0,0,8,1486.35608796296,"D",0,0
"Q1061",355,64,9,282,0.143209680618925,0.180281690140845,0.0253521126760563,0.794366197183099,120,1645.07265046296,"C",81,0
"Q10610569",32,32,0,0,0,1,0,0,8,1486.35190972222,"C",0,0
"Q10610702",33,32,0,1,0.0293847566574839,0.96969696969697,0,0.0303030303030303,10,1486.35108796296,"C",0,0
"Q10614534",1,1,0,0,0,1,0,0,1,1486.32549768519,"E",0,0
"Q1062",131,42,3,86,0.210477244915797,0.320610687022901,0.0229007633587786,0.656488549618321,65,1645.07231481481,"C",9,0
"Q10623840",37,36,0,1,0.0262965668371074,0.972972972972973,0,0.027027027027027,13,1486.26373842593,"C",0,0
"Q10624103",33,31,0,2,0.0569329660238751,0.939393939393939,0,0.0606060606060606,11,1486.26200231481,"C",0,0
"Q1063",348,64,22,262,0.138459505879244,0.183908045977011,0.0632183908045977,0.752873563218391,134,1645.07211805556,"C",484,0
"Q10631108",38,37,0,1,0.0256232686980609,0.973684210526316,0,0.0263157894736842,12,1486.21689814815,"C",0,0
"Q10634590",49,47,0,2,0.0391503540191587,0.959183673469388,0,0.0408163265306122,15,1486.19383101852,"C",0,0
"Q1064",287,127,6,154,0.237443698478797,0.442508710801394,0.0209059233449477,0.536585365853659,108,1645.07145833333,"A",36,0
"Q10640670",36,36,0,0,0,1,0,0,9,1486.10091435185,"C",0,0
"Q1065",878,79,43,756,0.0774746913932576,0.0899772209567198,0.0489749430523918,0.861047835990888,228,1645.07096064815,"C",1849,0
"Q10652037",33,33,0,0,0,1,0,0,9,1486.02641203704,"C",0,0
"Q1066",232,46,3,183,0.156398632580262,0.198275862068966,0.0129310344827586,0.788793103448276,81,1645.07028935185,"C",9,0
"Q10669066",42,41,0,1,0.0232426303854875,0.976190476190476,0,0.0238095238095238,12,1485.91211805556,"C",0,0
"Q10672226",32,31,0,1,0.0302734375,0.96875,0,0.03125,11,1485.89162037037,"C",0,0
"Q106785",73,47,0,26,0.229311315443798,0.643835616438356,0,0.356164383561644,30,1619.9397337963,"C",0,0
"Q1068",98,26,1,71,0.192211578508955,0.26530612244898,0.0102040816326531,0.724489795918367,40,1645.06865740741,"C",1,0
"Q106807",712,456,30,226,0.203288726170938,0.640449438202247,0.0421348314606742,0.317415730337079,106,1619.93813657407,"B",900,0
"Q10685839",3,2,0,1,0.222222222222222,0.666666666666667,0,0.333333333333333,3,1485.80393518519,"E",0,0
"Q10686856",40,40,0,0,0,1,0,0,12,1485.79744212963,"D",0,0
"Q1068990",24,12,0,12,0.25,0.5,0,0.5,14,1597.78954861111,"C",0,0
"Q1069",320,59,5,256,0.1475,0.184375,0.015625,0.8,103,1645.06824074074,"C",25,0
"Q1069901",101,57,2,42,0.234682874228017,0.564356435643564,0.0198019801980198,0.415841584158416,48,1597.7784837963,"C",4,0
"Q1070",270,67,5,198,0.181975308641975,0.248148148148148,0.0185185185185185,0.733333333333333,108,1645.06778935185,"C",25,0
"Q10705497",36,35,0,1,0.0270061728395062,0.972222222222222,0,0.0277777777777778,10,1485.67976851852,"C",0,0
"Q1071",301,51,21,229,0.128905861966203,0.169435215946844,0.0697674418604651,0.760797342192691,167,1645.06771990741,"C",441,0
"Q1072",265,48,28,189,0.129184763260947,0.181132075471698,0.105660377358491,0.713207547169811,139,1645.06506944444,"C",784,0
"Q1073",420,55,68,297,0.0926020408163265,0.130952380952381,0.161904761904762,0.707142857142857,151,1645.06435185185,"C",4624,0
"Q10736089",44,44,0,0,0,1,0,0,12,1485.25150462963,"C",0,0
"Q10749283",34,30,0,4,0.103806228373702,0.882352941176471,0,0.117647058823529,10,1485.0574537037,"C",0,0
"Q1075",365,44,19,302,0.0997410395946707,0.120547945205479,0.0520547945205479,0.827397260273973,133,1645.06233796296,"C",361,0
"Q1076",92,27,6,59,0.188208884688091,0.293478260869565,0.0652173913043478,0.641304347826087,46,1645.06128472222,"C",36,0
"Q107684",44,42,0,2,0.0433884297520661,0.954545454545455,0,0.0454545454545455,17,1619.85456018519,"C",0,0
"Q1077",223,40,2,181,0.145589092883428,0.179372197309417,0.00896860986547085,0.811659192825112,69,1645.059375,"C",4,0
"Q10780441",1,1,0,0,0,1,0,0,1,1484.57622685185,"E",0,0
"Q10781682",1,1,0,0,0,1,0,0,1,1484.55840277778,"E",0,0
"Q10784892",43,42,0,1,0.0227149810708491,0.976744186046512,0,0.0232558139534884,13,1484.50946759259,"B",0,0
"Q1079",705,63,8,634,0.0803621548211861,0.0893617021276596,0.0113475177304965,0.899290780141844,119,1645.05857638889,"C",64,0
"Q1080",43,4,3,36,0.0778799351000541,0.0930232558139535,0.0697674418604651,0.837209302325581,24,1645.05831018519,"C",9,0
"Q10804454",34,33,0,1,0.0285467128027682,0.970588235294118,0,0.0294117647058824,14,1484.21574074074,"C",0,0
"Q10818284",1,1,0,0,0,1,0,0,1,1483.53984953704,"E",0,0
"Q1082",30,4,2,24,0.106666666666667,0.133333333333333,0.0666666666666667,0.8,18,1645.05695601852,"E",4,0
"Q1083",244,106,0,138,0.245700080623488,0.434426229508197,0,0.565573770491803,74,1645.05694444444,"B",0,0
"Q10834248",1,1,0,0,0,1,0,0,1,1483.29193287037,"E",0,0
"Q1084",206,38,20,148,0.132528984824206,0.184466019417476,0.0970873786407767,0.718446601941748,100,1645.0543287037,"C",400,0
"Q10846801",2,2,0,0,0,1,0,0,2,1482.9155787037,"E",0,0
"Q1085",1384,393,15,976,0.200248922449798,0.283959537572254,0.0108381502890173,0.705202312138728,178,1645.05373842593,"A",225,0
"Q1086",291,50,5,236,0.139346488586578,0.171821305841924,0.0171821305841924,0.810996563573883,92,1645.05369212963,"B",25,0
"Q10864338",27,26,0,1,0.0356652949245542,0.962962962962963,0,0.037037037037037,6,1480.36633101852,"E",0,0
"Q1087",317,46,4,267,0.122222332792644,0.145110410094637,0.0126182965299685,0.842271293375394,94,1645.05233796296,"A",16,0
"Q10875811",3,2,1,0,0,0.666666666666667,0.333333333333333,0,3,1480.17861111111,"E",1,0
"Q1088",329,37,8,284,0.0970796648220175,0.112462006079027,0.0243161094224924,0.86322188449848,103,1645.05181712963,"C",64,0
"Q10882877",5,3,0,2,0.24,0.6,0,0.4,5,1480.06112268519,"E",0,0
"Q10888009",1,1,0,0,0,1,0,0,1,1479.97700231481,"E",0,0
"Q1089",318,53,6,259,0.135744234800839,0.166666666666667,0.0188679245283019,0.814465408805031,107,1645.0509837963,"A",36,0
"Q1089513",82,59,3,20,0.175490779298037,0.719512195121951,0.0365853658536585,0.24390243902439,29,1597.49592592593,"B",9,0
"Q109",467,38,4,425,0.0740523364314569,0.0813704496788009,0.00856531049250535,0.910064239828694,129,1646.03592592593,"C",16,0
"Q1090",442,54,35,353,0.0975717122909031,0.122171945701357,0.0791855203619909,0.798642533936652,131,1645.04949074074,"A",1225,0
"Q10902292",5,4,0,1,0.16,0.8,0,0.2,4,1479.76203703704,"E",0,0
"Q10902920",1,1,0,0,0,1,0,0,1,1479.75288194444,"E",0,0
"Q1091",330,46,6,278,0.11742883379247,0.139393939393939,0.0181818181818182,0.842424242424242,106,1645.04791666667,"A",36,0
"Q10910034",38,37,0,1,0.0256232686980609,0.973684210526316,0,0.0263157894736842,5,1479.64796296296,"E",0,0
"Q10910273",9,4,0,5,0.246913580246914,0.444444444444444,0,0.555555555555556,8,1479.6444212963,"E",0,0
"Q10910361",4,4,0,0,0,1,0,0,3,1479.64311342593,"E",0,0
"Q1092",274,42,42,190,0.106292290478981,0.153284671532847,0.153284671532847,0.693430656934307,128,1645.04670138889,"C",1764,0
"Q10922550",8,6,0,2,0.1875,0.75,0,0.25,4,1479.46239583333,"E",0,0
"Q1093",193,50,3,140,0.187924508040484,0.259067357512953,0.0155440414507772,0.725388601036269,77,1645.04644675926,"C",9,0
"Q10930846",1,1,0,0,0,1,0,0,1,1479.33846064815,"E",0,0
"Q10938041",14,1,0,13,0.0663265306122449,0.0714285714285714,0,0.928571428571429,4,1479.22405092593,"C",0,0
"Q10939196",21,20,0,1,0.0453514739229025,0.952380952380952,0,0.0476190476190476,4,1479.20608796296,"E",0,0
"Q1094",345,42,7,296,0.104448645242596,0.121739130434783,0.0202898550724638,0.857971014492754,104,1645.04642361111,"A",49,0
"Q1094662",21,19,0,2,0.0861678004535147,0.904761904761905,0,0.0952380952380952,11,1597.41112268519,"D",0,0
"Q10951014",2,1,0,1,0.25,0.5,0,0.5,2,1479.03596064815,"E",0,0
"Q1096",387,49,7,331,0.108293438562052,0.126614987080103,0.0180878552971576,0.855297157622739,118,1645.04520833333,"A",49,0
"Q1099",378,49,3,326,0.111796982167353,0.12962962962963,0.00793650793650794,0.862433862433862,106,1645.04287037037,"A",9,0
"Q110",463,40,7,416,0.0776231637970042,0.0863930885529158,0.0151187904967603,0.898488120950324,136,1646.03547453704,"C",49,0
"Q1100",348,50,8,290,0.119731800766284,0.14367816091954,0.0229885057471264,0.833333333333333,109,1645.04131944444,"A",64,0
"Q1101",304,68,1,235,0.172913781163435,0.223684210526316,0.00328947368421053,0.773026315789474,83,1645.04107638889,"C",1,0
"Q1102",261,42,8,211,0.130092042101555,0.160919540229885,0.0306513409961686,0.808429118773946,102,1645.04092592593,"B",64,0
"Q1102880",1,1,0,0,0,1,0,0,1,1597.28798611111,"E",0,0
"Q1103",386,39,10,337,0.0882104217562888,0.101036269430052,0.0259067357512953,0.873056994818653,112,1645.03960648148,"A",100,0
"Q11033479",26,5,0,21,0.155325443786982,0.192307692307692,0,0.807692307692308,13,1478.6803587963,"C",0,0
"Q110365",366,111,43,212,0.175669622861238,0.30327868852459,0.117486338797814,0.579234972677596,71,1619.63787037037,"A",1849,0
"Q11040046",4,2,0,2,0.25,0.5,0,0.5,4,1478.65696759259,"E",0,0
"Q11052005",47,44,0,3,0.0597555454956994,0.936170212765957,0,0.0638297872340425,13,1478.61476851852,"C",0,0
"Q1106",332,49,7,276,0.122695601683844,0.147590361445783,0.0210843373493976,0.831325301204819,111,1645.03842592593,"A",49,0
"Q11074015",2,1,0,1,0.25,0.5,0,0.5,2,1478.35943287037,"E",0,0
"Q11074199",2,2,0,0,0,1,0,0,2,1478.35652777778,"E",0,0
"Q11075517",24,23,0,1,0.0399305555555556,0.958333333333333,0,0.0416666666666667,4,1478.33478009259,"E",0,0
"Q11076103",1,1,0,0,0,1,0,0,1,1478.32511574074,"E",0,0
"Q1108",341,52,7,282,0.12610830660211,0.152492668621701,0.0205278592375367,0.826979472140763,106,1645.03746527778,"B",49,0
"Q11083296",29,26,0,3,0.0927467300832342,0.896551724137931,0,0.103448275862069,6,1478.21984953704,"D",0,0
"Q11087584",37,35,0,2,0.0511322132943755,0.945945945945946,0,0.0540540540540541,7,1478.16072916667,"E",0,0
"Q1109",330,40,4,286,0.105050505050505,0.121212121212121,0.0121212121212121,0.866666666666667,99,1645.03697916667,"B",16,0
"Q1110",92,12,0,80,0.113421550094518,0.130434782608696,0,0.869565217391304,42,1645.03663194444,"C",0,0
"Q11105454",2,1,0,1,0.25,0.5,0,0.5,2,1477.95321759259,"E",0,0
"Q1111280",122,42,0,80,0.225745767266864,0.344262295081967,0,0.655737704918033,25,1597.16050925926,"C",0,0
"Q11113666",3,2,0,1,0.222222222222222,0.666666666666667,0,0.333333333333333,3,1477.88556712963,"E",0,0
"Q1112",334,50,6,278,0.124601097206784,0.149700598802395,0.0179640718562874,0.832335329341317,100,1645.03616898148,"A",36,0
"Q1112783",41,27,0,14,0.224866151100535,0.658536585365854,0,0.341463414634146,17,1597.14672453704,"C",0,0
"Q11128414",44,41,0,3,0.0635330578512397,0.931818181818182,0,0.0681818181818182,14,1477.76732638889,"C",0,0
"Q1113",215,58,0,157,0.196992969172526,0.269767441860465,0,0.730232558139535,77,1645.0359375,"C",0,0
"Q11134237",2,1,0,1,0.25,0.5,0,0.5,2,1477.72231481481,"E",0,0
"Q1115",231,40,7,184,0.137928449616761,0.173160173160173,0.0303030303030303,0.796536796536797,100,1645.03471064815,"C",49,0
"Q11151443",11,1,0,10,0.0826446280991736,0.0909090909090909,0,0.909090909090909,5,1477.59730324074,"E",0,0
"Q1116",167,45,1,121,0.195238265983004,0.269461077844311,0.00598802395209581,0.724550898203593,83,1645.03430555556,"C",1,0
"Q11181518",6,5,0,1,0.138888888888889,0.833333333333333,0,0.166666666666667,4,1477.10292824074,"E",0,0
"Q11185722",2,1,0,1,0.25,0.5,0,0.5,2,1477.04070601852,"E",0,0
"Q11187455",1,1,0,0,0,1,0,0,1,1477.03013888889,"E",0,0
"Q1119",254,44,5,205,0.139810279620559,0.173228346456693,0.0196850393700787,0.807086614173228,91,1645.03337962963,"A",25,0
"Q11196239",15,2,0,13,0.115555555555556,0.133333333333333,0,0.866666666666667,3,1476.97296296296,"E",0,0
"Q11197740",1,1,0,0,0,1,0,0,1,1476.96069444444,"E",0,0
"Q11199549",1,1,0,0,0,1,0,0,1,1476.9455787037,"E",0,0
"Q112",202,33,5,164,0.132634055484756,0.163366336633663,0.0247524752475248,0.811881188118812,85,1646.03414351852,"C",25,0
"Q1121",316,41,5,270,0.110859637878545,0.129746835443038,0.0158227848101266,0.854430379746835,90,1645.03261574074,"C",25,0
"Q11218271",33,27,0,6,0.148760330578512,0.818181818181818,0,0.181818181818182,12,1476.7062037037,"C",0,0
"Q1122",128,44,0,84,0.2255859375,0.34375,0,0.65625,62,1645.03246527778,"C",0,0
"Q11220455",21,20,0,1,0.0453514739229025,0.952380952380952,0,0.0476190476190476,7,1476.67811342593,"C",0,0
"Q11224266",1,1,0,0,0,1,0,0,1,1476.64202546296,"E",0,0
"Q11224834",1,1,0,0,0,1,0,0,1,1476.63748842593,"E",0,0
"Q1123",259,41,6,212,0.129574693281257,0.158301158301158,0.0231660231660232,0.818532818532819,100,1645.03243055556,"A",36,0
"Q11230465",4,3,0,1,0.1875,0.75,0,0.25,4,1476.59232638889,"E",0,0
"Q1124",592,117,48,427,0.14255101807889,0.197635135135135,0.0810810810810811,0.721283783783784,168,1645.03144675926,"A",2304,0
"Q11240514",4,3,0,1,0.1875,0.75,0,0.25,4,1476.51594907407,"E",0,0
"Q11242440",9,1,0,8,0.0987654320987654,0.111111111111111,0,0.888888888888889,4,1476.50158564815,"D",0,0
"Q11245040",1,1,0,0,0,1,0,0,1,1476.48267361111,"E",0,0
"Q11245550",2,2,0,0,0,1,0,0,2,1476.4796412037,"E",0,0
"Q1125",188,45,0,143,0.182067677682209,0.23936170212766,0,0.76063829787234,65,1645.03138888889,"C",0,0
"Q11256769",2,1,0,1,0.25,0.5,0,0.5,2,1476.39636574074,"D",0,0
"Q1126",154,44,0,110,0.204081632653061,0.285714285714286,0,0.714285714285714,65,1645.03079861111,"C",0,0
"Q11261826",2,1,0,1,0.25,0.5,0,0.5,2,1476.35822916667,"E",0,0
"Q1127",169,42,0,127,0.186758166730857,0.248520710059172,0,0.751479289940828,71,1645.02991898148,"C",0,0
"Q11279028",2,1,0,1,0.25,0.5,0,0.5,2,1476.2344212963,"E",0,0
"Q1128",230,38,4,188,0.135047258979206,0.165217391304348,0.0173913043478261,0.817391304347826,99,1645.02943287037,"B",16,0
"Q11280620",2,1,0,1,0.25,0.5,0,0.5,2,1476.2253587963,"D",0,0
"Q11286426",7,5,0,2,0.204081632653061,0.714285714285714,0,0.285714285714286,4,1476.18983796296,"E",0,0
"Q1129",145,38,0,107,0.193388822829964,0.262068965517241,0,0.737931034482759,57,1645.02927083333,"C",0,0
"Q113",84,16,4,64,0.145124716553288,0.19047619047619,0.0476190476190476,0.761904761904762,48,1646.03310185185,"C",16,0
"Q1130",166,56,2,108,0.219480330962404,0.337349397590361,0.0120481927710843,0.650602409638554,57,1645.02825231481,"C",4,0
"Q11305693",2,1,0,1,0.25,0.5,0,0.5,2,1476.04431712963,"E",0,0
"Q1131011",20,7,0,13,0.2275,0.35,0,0.65,9,1596.91756944444,"C",0,0
"Q11317632",1,1,0,0,0,1,0,0,1,1475.93478009259,"E",0,0
"Q11319471",5,3,0,2,0.24,0.6,0,0.4,3,1475.91699074074,"E",0,0
